example_id,customer_tweet_id,historical_reply
golden-001,1089,"@129069 I hear ya, EJ. We've got other devices available too. DM us. We can check to see what zero down options you have. *GiselleM"
golden-002,1299,"@115951 @115913 We always want to keep you connected, Don. Please DM us; we'll explore every option. https://t.co/lH0SH5fy2m *MikeRice"
golden-003,4094,"@583689 Hey, Cristina! A Twitter account isn't necessary to play. Just download the T-Mobile Tuesdays app on your phone to get thanked! *JasonBurr"
golden-004,6577,"@285523 Hey Mitchel, let's see if we can get to the bottom of this rebate. Send us a DM and we can assist. *ChanneyT"
golden-005,15849,@264677 @115913 We have so many great reasons for you to join our #MagentaFamily! Check out a few here https://t.co/E8GMn7Wugd We can also check that important coverage to see what to expect. DM us for a closer look https://t.co/Et1Fu7xZtb *BarbPelotte
golden-006,15853,"@283773 @115913 We absolutely want you to have a reliable connection, Amy. Kindly send a DM my way to chat. https://t.co/EdLkYIfmTn *MariahDaigle"
golden-007,15918,"@802137 @115913 Hey Steve! I'd love to work with you to sort this out. It's important to get that new phone ASAP. Send me a DM, so we can chat. https://t.co/3sF8qpf2nx *AlissaFast"
golden-008,16229,@119473 I submitted a trouble ticket for you. We will allow 72 business hours for resolution. A complaint has been create... https://t.co/sSF5d9sCW3
golden-009,17981,@119744 Delightful! We'll be here if you ever need us again! *MikeVance
golden-010,18781,"@120196 Lets figure out what's going on Maria, DM us! *MelJ"
golden-011,19523,"@763728 @115913 @115911 @115725 We appreciate your LOYALTY! Thank you for sending us your DMs. I just replied to you, meet you back in your inbox shortly! *AshHebron"
golden-012,29040,"@122741 Could you DM us details on this, Gina? We want to take a closer look! *ElleA"
golden-013,32520,"@582191 You would be able to check out your order on the T-Mobile application, Lee! 
We can also check this for you. Send us a DM! :) *RickK"
golden-014,37110,@580984 @115913 With T-Mobile you'll get sweet free gifts every week! https://t.co/9kv7eznV7E *DanKing
golden-015,37119,"@471418 @115913 I want to get to the bottom of these charges, Serge. Please DM us. https://t.co/lH0SH5fy2m *MikeRice"
golden-016,37132,@256522 @115913 Check out our tourist plan https://t.co/MyrfUDsTK2! Send me a DM if you have any questions. https://t.co/PbJEgtqanO *JeromyBingham
golden-017,37168,@648148 @115913 Imagine the savings we could provide over 10 years! Check out what we offer right here https://t.co/cCRIl0Fcnu *RachaelTansey
golden-018,37191,"@679222 @115913 I see that we had chatted with you yesterday to get this resolved. If you need further assistance, we're only a DM away. *MariahDaigle"
golden-019,42742,@125454 You kid has some strength. DM us and let's look into all your options with us. Let's see what we can do. *JamieK
golden-020,42746,"@125456 James, you deserve to have your device. DM us and let's see what happened so we can turn this around for you. *JamieK"
golden-021,44939,@125943 I'm here to turn this around for you!📱📱DM me here: https://t.co/Op5C2z3lou *ChelseaBailey
golden-022,45429,@126053 @115913 I truly do not want to see you go. Click on my picture https://t.co/Mww69Rzn7a to send me a DM so I can look into this with you. *AshleyNelson
golden-023,58308,@129242 Hey there! Thank you for reaching out. I see your DM and will be replying in just a moment. :) *AlexSemsch
golden-024,81459,@728202 @115913 You should love your service. Click on my picture https://t.co/Mww69Rzn7a to send me a DM so I can look into this with you. *AshleyNelson
golden-025,84049,"@134472 Hey Tony, send me a DM https://t.co/oJwi530Mfi let's talk. :) *KiaWashington"
golden-026,84054,@134473 @115913 We’re always looking for the next great teammate and welcome your enthusiasm!  You can find a complete list of opportunities here https://t.co/BY6p8p5goE Good luck! https://t.co/Et1Fu7xZtb *BarbPelotte
golden-027,96273,@136984 @115913 Hi! We've got your DMs and will be replying ASAP. *AlissaFast
golden-028,164036,"@153972 @115913 Our awesome BOGO deals are available for our loyal customers as well when adding a line to a applicable plan. Check out the details, here: https://t.co/38Et9rf5Dp *DanKing"
golden-029,164050,"@153976 I am certain we can find something for you, if you want to send us a DM. *JPL"
golden-030,168553,"@155240 We love all of our customers! I'd love to see what's going on and turn this around, so send me a DM https://t.co/so3NREySxr, and we can get started. *ChrisScott"
golden-031,175816,"@157325 @115913 Our offer to help is sincere, Tyler. I hope to see you in DM so we can get to the bottom of this together. *TaylorBest"
golden-032,175839,"@157332 @115913 We'd love to have on on #TeamMagenta, shoot me a DM and we'll get started https://t.co/Nr93OTtXRx *TaylorBest"
golden-033,175848,"@157337 We ❤️ it so much that you joined into the #TMobileFamily! I am super excited that we were able to help you and get you all taken care of! If you ever need us again, feel free to send a DM. 😎 T-Force will be with you...always. 👏 Welcome to the Magenta side! *MikeVance"
golden-034,188772,@160306 Oh no! :( That's not the experience we want for you! Please DM us here: https://t.co/gAmFrAsnx1 *PatrickUllmann
golden-035,188799,@160310 @115913 You can still totally bring the new Pixel to our network unlocked without adding additional lines. *DanKing
golden-036,213014,"@174973 @115913 You can purchase it directly from Google unlocked, check out details here: https://t.co/ZpUYFrAEQJ *TaylorBest"
golden-037,224138,"@169557 We want you rocking amazing speeds Nick, send us a DM so we can take a closer look and get this turned around! *KittyG"
golden-038,227571,@170282 @115913 You should have fast data. Click https://t.co/Mww69Rzn7a to send a DM so I can review and assist. *AshleyNelson
golden-039,237969,@172633 absolutely! Go ahead and DM me and let's get this going! https://t.co/ezZMoc7QXB *GraceFranco
golden-040,240916,"@173221 @115913 We want to make sure you're getting the best service available, Jesse. DM us what you're seeing there: https://t.co/cuEwtd2epS *DanKing"
golden-041,241223,"@173266 @115913 We'll get to the bottom of this together, DM me and we'll dig in https://t.co/Nr93OTtXRx *TaylorBest"
golden-042,250522,"@175546 Is there a reason why you want to cancel the order, Justine?
Send us a DM. We're here for you. *RickK"
golden-043,256095,"@176922 Wow okay and I do have a question, did you get the Note 8 that was ordered? *MiggyHerrera"
golden-044,258977,@177574 @115913 Hey Ray! We'll get all of your promo questions squared away. DM me https://t.co/Nr93OTtXRx *TaylorBest
golden-045,258983,@177576 Having great service where you live is super important and I want to investigate for you. Shoot me a DM and I can help. *JPL
golden-046,260768,"@178085 Hey, Emanuel. You can take advantage of this offer. How many lines do you currently have? *NaeJ"
golden-047,260935,@178124 Perfect! I just replied back! :) *JannaPrivett
golden-048,264583,"@745859 We certainly don't want you to leave and would love to come up with a solution for you, Mark! Send us a DM here so we can chat and turn this around for ya. *BlakeT"
golden-049,264910,"@179110 We don't have confirmed JOD pricing yet, but stay tuned! Make sure you pre-register here: https://t.co/laOidw4foB :D *AbigailRoach"
golden-050,266975,"@179631 @115913 Let's dive in and check out that area for you, Erik. Please DM us to start. https://t.co/lH0SH5fy2m *MikeRice"
golden-051,271010,"@180651 Send us a DM and we can take a look at your options, Brian! We have your back! *TerriL"
golden-052,283680,"@611778 @115913 It's super important to us that you're charged correctly, Judy. Please send a DM our way: https://t.co/cuEwtd2epS *DanKing"
golden-053,299134,@295865 @115913 Trade in an eligible handset and get $300 off the new iPhone! *TaylorBest
golden-054,299758,@187458 Hmm! Let's see what we can do to get you reconnected with our chat support. DM me; we'll check it out: https://t.co/HuQi0EoCEV. *JasonBurr
golden-055,302732,@188245 @115913 I shot you a DM to make sure we get this fixed. We've got your back and will get this resolved. https://t.co/93XwcSKFIy *RayButler
golden-056,313090,@190767 Getting you the reception you need in Palo Alto is absolutely CRUCIAL! Please DM me here: https://t.co/EoqAVShpFT *AustinWebb
golden-057,316971,"@362511 Hey there, Alex! Please send over a DM and let's get you hooked up! We are here to assist! *BrookeK"
golden-058,325996,"@193663 Hey Marvin! Never heard back from your DM yesterday! Shoot me a DM, and I'll solve your Digits troubles. *DannyHarvey"
golden-059,332157,"@195085 We would love to assist you and confirm the options that'll work for you, Leander. Send us a DM so we can follow up. *KeithM"
golden-060,333744,@195519 Good afternoon! I can get you the help you need. Please DM me here https://t.co/LCoTGMV7tC. *KennethStone
golden-061,337870,@180086 Or I could save the day right now!! I'll be responding to your DM soon! *DannyHarvey
golden-062,344215,@423490 @115913 We absolutely want to get you on Team Magenta! You can get started online here: https://t.co/h1zext6aBw *MikeRice
golden-063,344224,"@544695 @115913 That's correct. You can check out more info about domestic roaming, here: https://t.co/8nnQ1ADtdF DM anytime if we can help further *DanKing"
golden-064,346804,@198579 @115913 Thanks! I see your DM &amp; am working to respond in a moment. :) https://t.co/ZxXpYRedaq *NicholasTomchik
golden-065,353336,"@199922 We want to look into this with you, Louis. Please click this link to send us a Direct Message: https://t.co/cuEwtd2epS *DanKing"
golden-066,354169,"@200211 The iPhone X is beautiful!  T-Force is here to help, please DM and we can get started! *Lisa Galvan"
